Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Новгородская область												
Боровичи	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Великий Новгород	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Новосибирская область												
Бердск	694	2058	4891	7399	2807	4227	2246	2807	7399	4044	2521	899
Искитим	694	2058	4623	7399	2807	4227	2246	2807	7399	4044	2521	899
Куйбышев	694	2058	4937	7399	2807	4227	2246	2807	7399	4044	2521	899
Новосибирск	694	2058	4937	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Омская область												
Омск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4885	7399	2807	4227	2246	2807	7399	4044	2521	899
Оренбургская область												
Бугуруслан, Бузулук, Новотроицк	694	2058	4510	7399	2807	4227	2246	2807	7399	4044	2521	899
Оренбург	694	2058	4326	7399	2807	4227	2246	2807	7399	4044	2521	899
Орск	694	2058	4511	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4516	7399	2807	4227	2246	2807	7399	4044	2521	899
Орловская область												
Ливны, Мценск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Орел	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область												
Заречный	694	2058	4246	7399	2807	4227	2246	2807	7399	4044	2521	899
Кузнецк	694	2058	4246	7399	2807	4227	2246	2807	7399	4044	2521	899
