Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Ставропольский край	Минеральные Воды	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Невинномысск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Пятигорск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Кисловодск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Михайловск (Ставропольский край)	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Ставрополь	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край	Амурск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край	Комсомольск-на-Амуре	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край	Хабаровск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край	прочие города и населенные пункты	1407	2058	3801	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область	Белогорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область	Свободный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область	Благовещенск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Архангельская область	Архангельск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область	Котлас	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область	Северодвинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Астраханская область	Астрахань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Астраханская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Белгородская область	Белгород	867	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Белгородская область	Губкин	867	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Белгородская область	Старый Оскол	867	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Белгородская область	прочие города и населенные пункты	867	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Брянская область	Брянск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Брянская область	Клинцы	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Брянская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область	Владимир	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область	Г усь-Хрустальный	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область	Муром	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	Волгоград	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	Волжский	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	Камышин	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	Михайловка	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Вологодская область	Вологда	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Вологодская область	Череповец	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Вологодская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Воронежская область	Борисоглебск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Воронежская область	Лиски	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Воронежская область	Россошь	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Воронежская область	Воронеж	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Воронежская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Ивановская область	Иваново	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Ивановская область	Кинешма	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Ивановская область	Шуя	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Ивановская область	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Иркутская область	Ангарск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Братск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Тулун	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Усть-Илимск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Усть-Кут	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Черемхово	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Иркутск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Усолье-Сибирское	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	Шелехов	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калининградская область	Калининград	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калининградская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калужская область	Калуга	1407	2058	4118	7399	5053	4227	4044	5053	7399	4044	2521	1895
Калужская область	Обнинск	1407	2058	4118	7399	5053	4227	4044	5053	7399	4044	2521	1895
Калужская область	прочие города и населенные пункты	1407	2058	3706	7399	5053	4227	4044	5053	7399	4044	2521	1895
Кемеровская область	Анжеро-Судженск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Новокузнецк	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Киселевск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Юрга	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Белово	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Березовский (Кемеровская область)	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Мсждурсчснск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Осинники	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Прокопьевск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	Кемерово	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кировская область	Киров (Кировская область)	1407	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Кировская область	Кирово-Чепецк	1407	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Кировская область	прочие города и населенные пункты	1407	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Костромская область	Кострома	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Костромская область	прочие города и населенные пункты	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область	Курган	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область	Шадринск	1407	2058	4736	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область	прочие города и населенные пункты	1407	2058	4736	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курская область	Железногорск (Курская область)	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курская область	Курск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Курская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ленинградская область	все города и населенные пункты области	1407	2058	3690	7399	2807	4227	2246	2807	7399	4044	2521	899
Липецкая область	Елец	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецкая область	Липецк	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецкая область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Магаданская область	Магадан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Магаданская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Московсковская область	все города и населенные пункты области	1407	2058	3590	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманская область	Апатиты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область	Мончегорск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область	Мурманск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область	Североморск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Арзамас	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Нижегородская область	Выкса	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Саров	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Балахна	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Бор	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Дзержинск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Кстово	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	Нижний Новгород	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новгородская область	Боровичи	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новгородская область	Великий Новгород	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новгородская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	Бердск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	Искитим	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	Куйбышев	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	Новосибирск	1407	2058	4350	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область	Омск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	Бугуруслан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	Бузулук	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	Новотроицк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	Оренбург	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	Орск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
